tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
867,6/1/2013 8:20,6/1/2013 8:34,355,Bayard St & Baxter St,40.71602118,-73.99974372,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,15097,Subscriber,1963,1
1384,6/1/2013 8:22,6/1/2013 8:45,426,West St & Chambers St,40.71754834,-74.01322069,427,Bus Slip & State St,40.701907,-74.013942,19764,Customer,NULL,0
830,6/1/2013 8:23,6/1/2013 8:36,326,E 11 St & 1 Ave,40.72953837,-73.98426726,444,Broadway & W 24 St,40.7423543,-73.98915076,15060,Subscriber,1985,2
326,6/1/2013 8:23,6/1/2013 8:28,308,St James Pl & Oliver St,40.71307916,-73.99851193,308,St James Pl & Oliver St,40.71307916,-73.99851193,15066,Subscriber,1972,2
880,6/1/2013 8:24,6/1/2013 8:38,486,Broadway & W 29 St,40.7462009,-73.98855723,291,Madison St & Montgomery St,40.713126,-73.984844,17006,Subscriber,1952,1
2094,6/1/2013 8:24,6/1/2013 8:59,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,474,5 Ave & E 29 St,40.7451677,-73.98683077,15293,Subscriber,1988,1
769,6/1/2013 8:24,6/1/2013 8:36,457,Broadway & W 58 St,40.76695317,-73.98169333,385,E 55 St & 2 Ave,40.75797322,-73.96603308,18836,Subscriber,1961,1
1542,6/1/2013 8:20,6/1/2013 8:46,439,E 4 St & 2 Ave,40.7262807,-73.98978041,428,E 3 St & 1 Ave,40.72467721,-73.98783413,15848,Subscriber,1969,1
169,6/1/2013 8:24,6/1/2013 8:27,459,W 20 St & 11 Ave,40.746745,-74.007756,453,W 22 St & 8 Ave,40.74475148,-73.99915362,18187,Subscriber,1956,1
1181,6/1/2013 8:25,6/1/2013 8:44,536,1 Ave & E 30 St,40.74144387,-73.97536082,341,Stanton St & Mangin St,40.71782143,-73.97628939,17573,Subscriber,1975,1
403,6/1/2013 8:25,6/1/2013 8:32,164,E 47 St & 2 Ave,40.75323098,-73.97032517,167,E 39 St & 3 Ave,40.7489006,-73.97604882,18563,Subscriber,1964,1
420,6/1/2013 8:25,6/1/2013 8:32,164,E 47 St & 2 Ave,40.75323098,-73.97032517,367,E 53 St & Lexington Ave,40.75828065,-73.97069431,18471,Subscriber,1972,2
360,6/1/2013 8:25,6/1/2013 8:31,307,Canal St & Rutgers St,40.71427487,-73.98990025,488,W 39 St & 9 Ave,40.75645824,-73.99372222,19269,Subscriber,1981,1
375,6/1/2013 8:25,6/1/2013 8:32,480,W 53 St & 10 Ave,40.76669671,-73.99061728,469,Broadway & W 53 St,40.76344058,-73.98268129,15467,Subscriber,1983,1
1459,6/1/2013 8:25,6/1/2013 8:50,493,W 45 St & 6 Ave (1),40.7568001,-73.98291153,402,Broadway & E 22 St,40.7403432,-73.98955109,17071,Subscriber,1983,1
3395,6/1/2013 8:26,6/1/2013 9:22,358,Christopher St & Greenwich St,40.73291553,-74.00711384,445,E 10 St & Avenue A,40.72740794,-73.98142006,15937,Subscriber,1956,2
193,6/1/2013 8:27,6/1/2013 8:30,368,Carmine St & 6 Ave,40.73038599,-74.00214988,300,Shevchenko Pl & E 7 St,40.728145,-73.990214,17799,Subscriber,1965,1
308,6/1/2013 8:27,6/1/2013 8:32,253,W 13 St & 5 Ave,40.73543934,-73.99453948,146,Hudson St & Reade St,40.71625008,-74.0091059,18398,Subscriber,1985,1
935,6/1/2013 8:25,6/1/2013 8:41,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,459,W 20 St & 11 Ave,40.746745,-74.007756,16438,Subscriber,1965,1
688,6/1/2013 8:27,6/1/2013 8:39,143,Clinton St & Joralemon St,40.69239502,-73.99337909,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,17706,Subscriber,1969,1
1183,6/1/2013 8:27,6/1/2013 8:47,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,17264,Subscriber,1979,1
167,6/1/2013 8:28,6/1/2013 8:30,225,W 14 St & The High Line,40.74195138,-74.00803013,462,W 22 St & 10 Ave,40.74691959,-74.00451887,19850,Subscriber,1964,1
779,6/1/2013 8:29,6/1/2013 8:42,306,Cliff St & Fulton St,40.70823502,-74.00530063,2012,E 27 St & 1 Ave,40.739445,-73.976806,17476,Subscriber,1956,2
263,6/1/2013 8:29,6/1/2013 8:33,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,298,3 Ave & Schermerhorn St,40.68683208,-73.9796772,15464,Subscriber,1975,2
2081,6/1/2013 8:29,6/1/2013 9:04,321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,408,Market St & Cherry St,40.71076228,-73.99400398,18236,Subscriber,1969,2
1471,6/1/2013 8:29,6/1/2013 8:53,350,Clinton St & Grand St,40.71559509,-73.9870295,223,W 13 St & 7 Ave,40.73781509,-73.99994661,17837,Customer,NULL,0
2640,6/1/2013 8:29,6/1/2013 9:13,345,W 13 St & 6 Ave,40.73649403,-73.99704374,345,W 13 St & 6 Ave,40.73649403,-73.99704374,19295,Subscriber,1983,1
690,6/1/2013 8:29,6/1/2013 8:41,527,E 33 St & 2 Ave,40.744023,-73.976056,290,2 Ave & E 58 St,40.76020258,-73.96478473,20303,Subscriber,1956,1
1451,6/1/2013 8:29,6/1/2013 8:53,350,Clinton St & Grand St,40.71559509,-73.9870295,348,W Broadway & Spring St,40.72490985,-74.00154702,15389,Customer,NULL,0
